店舗ID,店舗名,店舗名カナ,緯度,軽度,店舗URL,ドリンクURL,住所,電話番号,平均予算,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
getz305,地鶏専門店×贅沢個室 鳥桜 八王子駅前店,ジドリセンモンテンゼイタクコシツトリザクラ ハチオウジエキマエテン,35.658226,139.338186,https://r.gnavi.co.jp/m6nvb4y50000/?ak=%2BjI6%2BhHeqQRpVvfkPKrrdQhsI9r7cy797TxUCR1%2FGJo%3D,https://r.gnavi.co.jp/getz305/menu3,〒192-0082 東京都八王子市東町12-14 4F,050-3469-3724,2780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
飲み放題メニュー,飲み放題メニュー,黒枝豆,きゅうりの特製,だし巻き玉子,有機トマトの丸ごとスライス,たこわさび,ピリ辛冷奴,漬物盛り合わせ,マグロとアボカド美味しいサラダ,アボカドと生ハムイタリアンサラダ,カリカリじゃこ大根サラダ,鶏と水菜のサラダ,黒豚しゃぶしゃぶ胡麻和えサラダ,特選お刺身2種盛合せ,特選お刺身3種盛合せ,炙りしめサバ,サーモン刺身,タコ刺身,熊本！馬刺し,馬刺し2種盛合せ,馬刺し3種盛合せ,カツオタタキ,黒豚タンの炭火焼き,黒豚,黒豚のトロトロ角煮,牛ロースのひびき柚子ソテー,地鶏のチキン南蛮,照り焼きチキン,ほくほくハッシュポテトの明太チーズ焼き,地鶏の砂肝ピリ辛炒め,豚肉のキムチ炒め,地鶏の唐揚げ,手羽先にんにく揚げ,明石の揚げたこ焼き,鶏軟骨唐揚げ,自家製さつま揚げ,鶏軟骨唐揚げ,ぼんじり唐揚げ,地鶏の唐揚げ,イカゲソ唐揚げ,カリカリポテトフライ,レンコンチップス,串焼き正肉（もも肉）/なんこつ/ぼんじり/鶏かわ　各種（1本）,串焼。きねぎま/砂肝/豚バラ串/各種（1本）,エリンギ/しいたけ串各種（1本）,白ネギ肉まき,トマトの肉巻き,串焼。白ネギ/にんにく各種（1本）,地鶏の焼き鳥　7本盛合せ,地鶏の焼き鳥　12本盛合せ,焼き鳥つくね5本盛合せ,焼き鳥つくね(2本),エイヒレの炙り焼き,もちお餅の焼き,厚切りベーコンの黒こしょう焼き/するめいかの一夜干し,鉄板ナポリタンスパゲッティ/きのこたっぷり醤油スパゲティ,豚肉ミルフィーユ鍋,豚バラ肉と豆腐チゲ鍋,和牛すき焼き鍋,野菜の盛り合わせ,豚バラ,鶏肉,牛ホルモンミックス,キムチ,ラーメン・うどん。おじや,抹茶アイス/バニラアイス,ワッフル,チョコレートわらび餅,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ggpw200,Bistro Panda,ビストロパンダ,35.65743,139.337021,https://r.gnavi.co.jp/eheysm7h0000/?ak=%2BjI6%2BhHeqQRpVvfkPKrrdQhsI9r7cy797TxUCR1%2FGJo%3D,https://r.gnavi.co.jp/ggpw200/menu3,〒192-0084 東京都八王子市三崎町4-3 1F,050-3466-9302,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
本日のカルパッチョ,アンチョビオリーブ,大人のポテトサラダ,スペイン産,トルコ産,生ハム・サラミ・白いちじく,チーズ盛合せ,鶏肉のやわらかビール煮込み,フライドポテト,揚げたて！！ポテトチップス,大粒！広島産カキフライ,北海道産,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
880,350,420,480,480,1480,1800,780,450,420,680,880,980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ge6a113,北海道の恵み 個室居酒屋 北の台所 八王子店,ホッカイドウノメグミコシツイザカヤ キタノダイドコロハチオウジテン,35.656901,139.337973,https://r.gnavi.co.jp/s01m6dzf0000/?ak=%2BjI6%2BhHeqQRpVvfkPKrrdQhsI9r7cy797TxUCR1%2FGJo%3D,https://r.gnavi.co.jp/ge6a113/menu1,〒192-0083 東京都八王子市旭町6-9 7F,050-3467-4201,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ー〔飲み放題メニュー〕ー,【Aプラン★+500円で銘柄酒も飲み放題♪】,【PRプラン★+1000円で最上級♪プレミアム飲み放題!!】,自家製チャンジャ,梅水晶,ピリ辛タタキ胡瓜,胡瓜の一本漬け,ナスの一本漬け,塩昆布キャベツ,自家製冷奴,鶏皮ポン酢,本日のカプレーゼ,本日の生春巻き,自家製豆腐と国産野菜のサラダ,アボカドと生ハムのイタリアンサラダ,マグロのお造り,サーモンのお造り,タコのお造り,イカのお造り,甘エビのお造り,きびなごのお造り,串焼き5本盛り合わせ,ポテトフライ,大海老フライ,イカフライ,エイヒレの炙り焼き,大しまホッケの開け焼き,子持ちししゃも,イカの丸ごと炭火焼き,ふわとろ出し巻き玉子,チーズフォンデュ,エビの自家製マヨネーズ和え,海鮮チヂミ,じゃが芋の明太焼き,本マグロのさっぱりおろし和え,ー〔飲み放題メニュー〕ー,【Bプラン★+300円で特製カクテル豊富♪】,【Aプラン★+500円で生ビールも飲み放題♪】,【PRプラン★最上級♪プレミアム飲み放題!!】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,500,380,380,380,480,380,380,380,580,680,680,500,500,500,500,500,500,780,480,580,580,480,680,580,580,380,680,580,580,580,580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b165600,個室 庭園和食 金沢の味 福梅,コシツテイエンワショクカナザワノアジフクウメ,35.658744,139.334404,https://r.gnavi.co.jp/b165600/?ak=%2BjI6%2BhHeqQRpVvfkPKrrdQhsI9r7cy797TxUCR1%2FGJo%3D,https://r.gnavi.co.jp/b165600/menu2,〒192-0072 東京都八王子市南町2-11,050-3476-1514,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
